Quantity,1 Color,2 Color,3 Color,4 Color,5 Color,6 Color,7 Color,8 Color,Product Markup %
1,20.0,22.0,24.0,25.0,26.0,27.0,28.0,29.0,190.0
12,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,190.0
24,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,190.0
48,1.75,2.25,2.75,3.25,3.75,4.25,5.0,5.5,190.0
72,1.3,1.8,2.3,2.8,3.3,3.8,4.3,4.8,190.0
96,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,190.0
144,1.2,1.45,1.7,1.95,2.2,2.45,2.7,2.95,190.0
288,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,190.0
500,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,190.0
1000,0.6,0.75,0.9,1.05,1.15,1.25,1.35,1.45,190.0
2500,0.55,0.6,0.65,0.7,0.75,8.0,0.85,0.9,190.0
5000,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,190.0
10000,0.45,0.5,0.55,6.0,0.65,0.7,0.75,0.8,190.0
